"icelines_rank","player","team","positions","expected_fantasy_points","fantasy_points_2025_26","nhl_expert_rank","quiet_slate_games"
"127","Zach Hyman","EDM","LW/RW","225.7","227","87","10"
"128","Charlie Coyle","CBJ","C/RW","225.5","268.5","214","10"
"129","Tyler Bertuzzi","CHI","LW/RW","225","258","221","15"
"130","Brock Boeser","VAN","LW/RW","224.7","218","184","14"
"131","Miro Heiskanen","DAL","D","224.2","289.2","89","12"
"132","Carter Verhaeghe","FLA","C","224","225.8","143","10"
"133","Erik Karlsson","PIT","D","223.6","261.5","94","14"
"134","MacKenzie Weegar","UTA","D","222.4","251","162","15"
"135","Alex Laferriere","LAK","C/LW/RW","221.9","290","","13"
"136","Ivan Barbashev","VGK","LW","221.4","264.2","","10"
"137","Rickard Rakell","PIT","C/LW/RW","221.4","231","104","14"
"138","Jakub Dobes","MTL","G","220.6","266.8","91","12"
"139","Brad Marchand","FLA","LW","220.3","223.5","130","10"
"140","Alexis Lafrenière","NYR","LW/RW","220.1","259.2","","18"
"141","Mathew Barzal","NYI","C/RW","219.7","266.5","119","10"
"142","Kevin Lankinen","VAN","G","219.7","204.5","","14"
"143","Filip Hronek","VAN","D","219.3","283.8","206","14"
"144","Roope Hintz","DAL","C","217.5","198","86","12"
"145","Evgeni Malkin","PIT","C/LW/RW","217","227.8","129","14"
"146","John Carlson","TBL","D","217","246","116","8"
"147","Matt Duchene","DAL","C/RW","216.4","180.2","142","12"
"148","William Eklund","OTT","LW/RW","216.3","231.8","144","11"
"149","Cutter Gauthier","ANA","C/LW/RW","215.7","294.2","29","15"
"150","Elias Pettersson","VAN","C/LW","215","266.2","137","14"
"151","Jake DeBrusk","VAN","LW/RW","214.8","235.5","181","14"
"152","Joel Eriksson Ek","MIN","C","214","245.8","108","11"
"153","Jackson LaCombe","ANA","D","213.8","280.5","90","15"
"154","Chris Kreider","ANA","LW","213.7","224","231","15"
"155","Patrick Kane","CHI","RW","213.7","210.8","173","15"
"156","Alex Lyon","BUF","G","213.6","218.6","204","10"
"157","Kevin Fiala","LAK","LW","212.7","179.5","","13"
"158","Alex Nedeljkovic","SJS","G","211.5","207.8","","17"
"159","Elvis Merzlikins","CBJ","G","211.3","159.2","","10"
"160","Mats Zuccarello","LAK","RW","210.6","210.5","155","13"
"161","Brayden Schenn","NYI","C/LW","210.4","240.2","","10"
"162","Cam Talbot","DET","G","207.5","149.1","","17"
"163","Dylan Holloway","STL","C/LW","207.5","243.8","57","5"
"164","Tyler Toffoli","SJS","LW/RW","207.3","206.8","","17"
"165","Eeli Tolvanen","SEA","LW/RW","206.3","260","","11"
"166","Quinton Byfield","LAK","C/LW","205.9","220.2","109","13"
"167","Jordan Kyrou","WSH","RW","205.8","176.5","123","16"
"168","Shayne Gostisbehere","CAR","D","204.8","214.5","145","12"
"169","Leo Carlsson","ANA","C","204.7","247.2","34","15"
